Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;12 Galicia;2017;16,1
Total Nacional;12 Galicia;2016;13,3
Total Nacional;12 Galicia;2015;15,3
Total Nacional;12 Galicia;2014;14,5
Total Nacional;12 Galicia;2013;13,3
Total Nacional;12 Galicia;2012;10,0
Total Nacional;12 Galicia;2011;14,8
Total Nacional;12 Galicia;2010;15,2
Total Nacional;12 Galicia;2009;17,8
Total Nacional;12 Galicia;2008;12,7
Total Nacional;12 Galicia;2007;16,4
Total Nacional;12 Galicia;2006;18,3
Total Nacional;12 Galicia;2005;19,5
Total Nacional;12 Galicia;2004;17,5
Total Nacional;13 Madrid, Comunidad de;2020;26,4
Total Nacional;13 Madrid, Comunidad de;2019;17,5
Total Nacional;13 Madrid, Comunidad de;2018;21,7
Total Nacional;13 Madrid, Comunidad de;2017;13,2
Total Nacional;13 Madrid, Comunidad de;2016;20,7
Total Nacional;13 Madrid, Comunidad de;2015;18,9
Total Nacional;13 Madrid, Comunidad de;2014;22,4
Total Nacional;13 Madrid, Comunidad de;2013;23,9
Total Nacional;13 Madrid, Comunidad de;2012;14,2
Total Nacional;13 Madrid, Comunidad de;2011;17,7
Total Nacional;13 Madrid, Comunidad de;2010;19,2
Total Nacional;13 Madrid, Comunidad de;2009;28,1
Total Nacional;13 Madrid, Comunidad de;2008;26,9
Total Nacional;13 Madrid, Comunidad de;2007;27,0
Total Nacional;13 Madrid, Comunidad de;2006;31,6
Total Nacional;13 Madrid, Comunidad de;2005;33,8
Total Nacional;13 Madrid, Comunidad de;2004;30,1
Total Nacional;14 Murcia, Región de;2020;33,6
Total Nacional;14 Murcia, Región de;2019;12,4
Total Nacional;14 Murcia, Región de;2018;15,5
Total Nacional;14 Murcia, Región de;2017;26,8
Total Nacional;14 Murcia, Región de;2016;22,9
Total Nacional;14 Murcia, Región de;2015;20,5
Total Nacional;14 Murcia, Región de;2014;21,2
Total Nacional;14 Murcia, Región de;2013;24,5
Total Nacional;14 Murcia, Región de;2012;22,4
Total Nacional;14 Murcia, Región de;2011;11,3
Total Nacional;14 Murcia, Región de;2010;18,4
Total Nacional;14 Murcia, Región de;2009;22,7
Total Nacional;14 Murcia, Región de;2008;14,4
Total Nacional;14 Murcia, Región de;2007;30,6
Total Nacional;14 Murcia, Región de;2006;31,5
Total Nacional;14 Murcia, Región de;2005;26,5
Total Nacional;14 Murcia, Región de;2004;23,5
Total Nacional;15 Navarra, Comunidad Foral de;2020;20,7
Total Nacional;15 Navarra, Comunidad Foral de;2019;18,4
Total Nacional;15 Navarra, Comunidad Foral de;2018;28,0
Total Nacional;15 Navarra, Comunidad Foral de;2017;12,8
Total Nacional;15 Navarra, Comunidad Foral de;2016;15,4
Total Nacional;15 Navarra, Comunidad Foral de;2015;15,6
Total Nacional;15 Navarra, Comunidad Foral de;2014;16,5
Total Nacional;15 Navarra, Comunidad Foral de;2013;20,5
Total Nacional;15 Navarra, Comunidad Foral de;2012;13,6
Total Nacional;15 Navarra, Comunidad Foral de;2011;16,5
Total Nacional;15 Navarra, Comunidad Foral de;2010;16,2
Total Nacional;15 Navarra, Comunidad Foral de;2009;12,9
Total Nacional;15 Navarra, Comunidad Foral de;2008;12,5
Total Nacional;15 Navarra, Comunidad Foral de;2007;15,6
Total Nacional;15 Navarra, Comunidad Foral de;2006;26,7
Total Nacional;15 Navarra, Comunidad Foral de;2005;21,8
Total Nacional;15 Navarra, Comunidad Foral de;2004;20,5
Total Nacional;16 País Vasco;2020;20,6
Total Nacional;16 País Vasco;2019;20,7
Total Nacional;16 País Vasco;2018;22,9
Total Nacional;16 País Vasco;2017;12,0
Total Nacional;16 País Vasco;2016;8,8
Total Nacional;16 País Vasco;2015;8,8
Total Nacional;16 País Vasco;2014;10,5
Total Nacional;16 País Vasco;2013;16,6
Total Nacional;16 País Vasco;2012;15,8
Total Nacional;16 País Vasco;2011;16,2
Total Nacional;16 País Vasco;2010;20,1
Total Nacional;16 País Vasco;2009;16,0
Total Nacional;16 País Vasco;2008;24,4
Total Nacional;16 País Vasco;2007;25,0
Total Nacional;16 País Vasco;2006;28,4
Total Nacional;16 País Vasco;2005;32,3
Total Nacional;16 País Vasco;2004;21,8
Total Nacional;17 Rioja, La;2020;20,7
Total Nacional;17 Rioja, La;2019;20,1
Total Nacional;17 Rioja, La;2018;20,8
Total Nacional;17 Rioja, La;2017;8,4
Total Nacional;17 Rioja, La;2016;18,7
Total Nacional;17 Rioja, La;2015;13,0
Total Nacional;17 Rioja, La;2014;13,3
Total Nacional;17 Rioja, La;2013;11,8
Total Nacional;17 Rioja, La;2012;15,7
Total Nacional;17 Rioja, La;2011;15,9
Total Nacional;17 Rioja, La;2010;12,6
Total Nacional;17 Rioja, La;2009;23,2
Total Nacional;17 Rioja, La;2008;13,3
Total Nacional;17 Rioja, La;2007;21,1
Total Nacional;17 Rioja, La;2006;21,7
Total Nacional;17 Rioja, La;2005;21,2
Total Nacional;17 Rioja, La;2004;17,6
Total Nacional;18 Ceuta;2020;34,1
Total Nacional;18 Ceuta;2019;7,2
Total Nacional;18 Ceuta;2018;11,5
Total Nacional;18 Ceuta;2017;30,1
Total Nacional;18 Ceuta;2016;39,2
Total Nacional;18 Ceuta;2015;27,4
Total Nacional;18 Ceuta;2014;44,3
Total Nacional;18 Ceuta;2013;40,8
Total Nacional;18 Ceuta;2012;35,1
Total Nacional;18 Ceuta;2011;15,1
