Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;09 Cataluña;2004;..
Total Nacional;10 Comunitat Valenciana;2022;10,8
Total Nacional;10 Comunitat Valenciana;2021;10,1
Total Nacional;10 Comunitat Valenciana;2020;11,3
Total Nacional;10 Comunitat Valenciana;2019;12,8
Total Nacional;10 Comunitat Valenciana;2018;11,1
Total Nacional;10 Comunitat Valenciana;2017;11,2
Total Nacional;10 Comunitat Valenciana;2016;10,6
Total Nacional;10 Comunitat Valenciana;2015;13,3
Total Nacional;10 Comunitat Valenciana;2014;10,8
Total Nacional;10 Comunitat Valenciana;2013;10,8
Total Nacional;10 Comunitat Valenciana;2012;14,1
Total Nacional;10 Comunitat Valenciana;2011;12,7
Total Nacional;10 Comunitat Valenciana;2010;12,7
Total Nacional;10 Comunitat Valenciana;2009;15,3
Total Nacional;10 Comunitat Valenciana;2008;18,2
Total Nacional;10 Comunitat Valenciana;2007;26,2
Total Nacional;10 Comunitat Valenciana;2006;21,9
Total Nacional;10 Comunitat Valenciana;2005;20,7
Total Nacional;10 Comunitat Valenciana;2004;28,3
Total Nacional;11 Extremadura;2022;6,7
Total Nacional;11 Extremadura;2021;6,3
Total Nacional;11 Extremadura;2020;6,1
Total Nacional;11 Extremadura;2019;6,3
Total Nacional;11 Extremadura;2018;7,6
Total Nacional;11 Extremadura;2017;7,7
Total Nacional;11 Extremadura;2016;6,8
Total Nacional;11 Extremadura;2015;7,9
Total Nacional;11 Extremadura;2014;7,5
Total Nacional;11 Extremadura;2013;8,2
Total Nacional;11 Extremadura;2012;8,7
Total Nacional;11 Extremadura;2011;11,0
Total Nacional;11 Extremadura;2010;7,9
Total Nacional;11 Extremadura;2009;12,0
Total Nacional;11 Extremadura;2008;..
Total Nacional;11 Extremadura;2007;..
Total Nacional;11 Extremadura;2006;..
Total Nacional;11 Extremadura;2005;..
Total Nacional;11 Extremadura;2004;..
Total Nacional;12 Galicia;2022;11,6
Total Nacional;12 Galicia;2021;11,0
