Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;13 Madrid, Comunidad de;2014;20,6
Total Nacional;13 Madrid, Comunidad de;2013;19,2
Total Nacional;13 Madrid, Comunidad de;2012;23,9
Total Nacional;13 Madrid, Comunidad de;2011;24,1
Total Nacional;13 Madrid, Comunidad de;2010;24,2
Total Nacional;13 Madrid, Comunidad de;2009;27,0
Total Nacional;13 Madrid, Comunidad de;2008;28,5
Total Nacional;13 Madrid, Comunidad de;2007;34,5
Total Nacional;13 Madrid, Comunidad de;2006;37,6
Total Nacional;13 Madrid, Comunidad de;2005;39,3
Total Nacional;13 Madrid, Comunidad de;2004;38,3
Total Nacional;14 Murcia, Región de;2022;30,6
Total Nacional;14 Murcia, Región de;2021;27,5
Total Nacional;14 Murcia, Región de;2020;26,6
Total Nacional;14 Murcia, Región de;2019;26,4
Total Nacional;14 Murcia, Región de;2018;25,7
Total Nacional;14 Murcia, Región de;2017;29,5
Total Nacional;14 Murcia, Región de;2016;28,1
Total Nacional;14 Murcia, Región de;2015;28,7
Total Nacional;14 Murcia, Región de;2014;30,2
Total Nacional;14 Murcia, Región de;2013;24,7
Total Nacional;14 Murcia, Región de;2012;30,0
Total Nacional;14 Murcia, Región de;2011;30,0
Total Nacional;14 Murcia, Región de;2010;31,6
Total Nacional;14 Murcia, Región de;2009;32,6
Total Nacional;14 Murcia, Región de;2008;30,3
Total Nacional;14 Murcia, Región de;2007;32,1
Total Nacional;14 Murcia, Región de;2006;24,8
Total Nacional;14 Murcia, Región de;2005;39,8
Total Nacional;14 Murcia, Región de;2004;26,9
Total Nacional;15 Navarra, Comunidad Foral de;2022;16,3
Total Nacional;15 Navarra, Comunidad Foral de;2021;14,0
Total Nacional;15 Navarra, Comunidad Foral de;2020;12,8
Total Nacional;15 Navarra, Comunidad Foral de;2019;15,0
Total Nacional;15 Navarra, Comunidad Foral de;2018;14,3
Total Nacional;15 Navarra, Comunidad Foral de;2017;14,3
Total Nacional;15 Navarra, Comunidad Foral de;2016;12,1
Total Nacional;15 Navarra, Comunidad Foral de;2015;17,7
Total Nacional;15 Navarra, Comunidad Foral de;2014;16,3
Total Nacional;15 Navarra, Comunidad Foral de;2013;17,3
Total Nacional;15 Navarra, Comunidad Foral de;2012;22,0
Total Nacional;15 Navarra, Comunidad Foral de;2011;22,7
Total Nacional;15 Navarra, Comunidad Foral de;2010;25,0
Total Nacional;15 Navarra, Comunidad Foral de;2009;24,0
Total Nacional;15 Navarra, Comunidad Foral de;2008;23,0
Total Nacional;15 Navarra, Comunidad Foral de;2007;30,0
Total Nacional;15 Navarra, Comunidad Foral de;2006;33,3
Total Nacional;15 Navarra, Comunidad Foral de;2005;27,7
Total Nacional;15 Navarra, Comunidad Foral de;2004;26,7
Total Nacional;16 País Vasco;2022;17,7
Total Nacional;16 País Vasco;2021;16,1
Total Nacional;16 País Vasco;2020;15,6
Total Nacional;16 País Vasco;2019;16,3
Total Nacional;16 País Vasco;2018;16,7
Total Nacional;16 País Vasco;2017;17,9
Total Nacional;16 País Vasco;2016;15,3
Total Nacional;16 País Vasco;2015;17,9
Total Nacional;16 País Vasco;2014;17,4
Total Nacional;16 País Vasco;2013;15,9
Total Nacional;16 País Vasco;2012;26,7
Total Nacional;16 País Vasco;2011;27,0
Total Nacional;16 País Vasco;2010;24,2
Total Nacional;16 País Vasco;2009;24,7
Total Nacional;16 País Vasco;2008;26,3
Total Nacional;16 País Vasco;2007;29,4
Total Nacional;16 País Vasco;2006;30,1
Total Nacional;16 País Vasco;2005;32,5
Total Nacional;16 País Vasco;2004;32,9
Total Nacional;17 Rioja, La;2022;21,0
Total Nacional;17 Rioja, La;2021;19,0
Total Nacional;17 Rioja, La;2020;21,0
Total Nacional;17 Rioja, La;2019;23,0
Total Nacional;17 Rioja, La;2018;21,0
Total Nacional;17 Rioja, La;2017;20,0
Total Nacional;17 Rioja, La;2016;17,0
Total Nacional;17 Rioja, La;2015;18,0
Total Nacional;17 Rioja, La;2014;22,0
Total Nacional;17 Rioja, La;2013;21,0
Total Nacional;17 Rioja, La;2012;24,0
Total Nacional;17 Rioja, La;2011;29,0
Total Nacional;17 Rioja, La;2010;22,0
Total Nacional;17 Rioja, La;2009;20,0
Total Nacional;17 Rioja, La;2008;19,0
Total Nacional;17 Rioja, La;2007;21,0
Total Nacional;17 Rioja, La;2006;30,0
Total Nacional;17 Rioja, La;2005;37,0
Total Nacional;17 Rioja, La;2004;35,0
Total Nacional;18 Ceuta;2022;16,0
Total Nacional;18 Ceuta;2021;15,0
Total Nacional;18 Ceuta;2020;16,0
Total Nacional;18 Ceuta;2019;18,0
Total Nacional;18 Ceuta;2018;..
Total Nacional;18 Ceuta;2017;..
Total Nacional;18 Ceuta;2016;..
Total Nacional;18 Ceuta;2015;..
Total Nacional;18 Ceuta;2014;..
Total Nacional;18 Ceuta;2013;..
Total Nacional;18 Ceuta;2012;..
Total Nacional;18 Ceuta;2011;..
Total Nacional;18 Ceuta;2010;..
Total Nacional;18 Ceuta;2009;..
Total Nacional;18 Ceuta;2008;..
